Location,Max Travel Time
52.04574431 4.50187431,38.5657548112104
52.01272177 5.67297483,36.118511721664376
52.09236214 5.19670239,41.08342390495151
52.57923173 6.19055917,41.047182758526205
51.52133068 5.23121567,45.62970414528159
51.92267934 4.53683559,45.69978398610965
51.03960755 5.82605138,31.41355206106707
53.2026885 6.63486046,26.206531645458746
52.49408976 4.89588392,133.9824300135435
51.42662118 4.08584293,25.76762633773093
52.25671568 5.51762132,62.95090946746255
52.87121431 5.74317938,74.15642349894829
51.59067395 4.72367748,60.55495510628779
51.38606201 5.88324848,79.73448525630829
51.93189666 4.09880591,30.730857164579895
52.2904633 6.62631029,44.15380207984885
53.02402607 5.21408784,40.31281519705622
51.94338812 6.27547179,41.07521431335742
51.83727655 4.72094075,31.965434205711613
51.85850537 5.26226288,57.277120344095984
52.44413292 6.02309835,56.45402264490813
51.47890297 4.31577554,51.590791337003225
51.18835695 6.02899282,66.28592574866182
51.9249212 4.35926842,24.755345524319026
52.38630993 4.73594229,18.078333333333333
52.3221628 5.11376255,12.925306328026693
52.60517898 5.63050498,57.73622739722585
51.42269475 5.63930105,68.16241280880074
52.87752579 6.51624137,53.92066366396476
52.20606677 6.02155437,65.12072124110776
52.18730474 4.986789,38.61739962246485
51.68728427 4.8851476,46.57890174404492
53.08895083 6.08262744,34.12458629216562
51.75405905 4.64245207,37.8679626104205
51.75670605 5.62490303,25.33025259603733
52.34232821 5.69150101,54.94947632653019
52.03844319 4.70205227,35.625875766681546
52.07391026 4.34035431,42.194164788972174
51.47996179 3.90164086,25.632392010687006
52.21077201 4.60855838,16.495811127502083
52.46068236 4.67203393,159.19339340424443
52.37654163 4.97417628,47.42626648505857
53.15536631 7.1344526,70.64296275183806
51.72161684 5.32963043,44.652063348439036
51.54254247 5.9970537,21.84448645155464
51.5360949 5.10084061,54.69057449522816
52.22428017 5.2610304,41.26228012940528
52.26583296 6.46311032,42.857951296323606
52.2421921 6.27315243,72.65879015630448
52.71142719 6.4615332,47.26552294444877
52.68950724 5.03037445,84.14472301796319
51.65999897 4.4191004,44.148252673131005
53.0745623 5.33784784,69.41203742469003
51.85959855 4.95702147,42.10494554005531
51.46062275 5.40776998,66.49929831756528
52.07291489 4.90996404,34.40544464671707
52.05193805 5.43073315,40.82219168298803
52.0420777 5.55522396,52.59957177367982
52.02359006 5.92504617,50.29948493572497
51.91696542 5.69555274,44.00974205954368
